publication_date,source,title,url
2016-12-17,The Observer,Chaos as bailiffs attach Gulu district assets over Shs 4.4bn,https://observer.ug/news/chaos-as-bailiffs-attach-gulu-district-assets-over-shs-4-4bn/
2016-12-17,The Observer,Utl licence should have been revoked 5 years ago – UCC,https://observer.ug/news/utl-licence-should-have-been-revoked-5-years-ago-ucc/
2016-12-19,The Observer,Couple sues Marie Stopes over unplanned child,https://observer.ug/news/couple-sues-marie-stopes-over-unplanned-child/
2016-12-19,The Observer,MP Nandala-Mafabi faults Utl on Shs 670bn debts,https://observer.ug/news/mp-nandala-mafabi-faults-utl-on-shs-670bn-debts/
2016-12-19,The Observer,"Museveni, Akena killing UPC – Bossa",https://observer.ug/news/museveni-akena-killing-upc-bossa/
2016-12-19,The Observer,NWSC wants Shs 90bn to avail water for all,https://observer.ug/news/nwsc-wants-shs-90bn-to-avail-water-for-all/
2016-12-19,The Observer,"Rugunda speaks on Makerere, fighting ministers",https://observer.ug/news/rugunda-speaks-on-makerere-fighting-ministers/
2016-12-20,The Observer,"FIFA fines Uganda Shs 17m, Burundi Shs 55m",https://observer.ug/news/fifa-fines-uganda-shs-17m-burundi-shs-55m/
2016-12-21,The Observer,Cement industry in huge leaps as public projects push up demand,https://observer.ug/business/cement-industry-in-huge-leaps-as-public-projects-push-up-demand/
2016-12-21,The Observer,Chinese company sues Govt,https://observer.ug/business/chinese-company-sues-govt/
2016-12-21,The Observer,Chinese firm CCCC aids St Mary’s College Kisubi,https://observer.ug/news/chinese-firm-cccc-aids-st-mary-s-college-kisubi/
2016-12-21,The Observer,Higher education council calls for govt support on compliance,https://observer.ug/news/higher-education-council-calls-for-govt-support-on-compliance/
2016-12-21,The Observer,Justice Kavuma amends his age,https://observer.ug/news/justice-kavuma-amends-his-age/
2016-12-21,The Observer,Mathias Nsubuga’s death: has DP’s bridge collapsed?,https://observer.ug/news/mathias-nsubuga-s-death-has-dp-s-bridge-collapsed/
2016-12-21,The Observer,Parliament halts UTL financial transactions,https://observer.ug/news/parliament-halts-utl-financial-transactions/
2016-12-21,The Observer,Residents protest against delayed Unra pay,https://observer.ug/business/residents-protest-against-delayed-unra-pay/
2016-12-21,The Observer,Review committee wants UBC overhauled,https://observer.ug/news/review-committee-wants-ubc-overhauled/
2016-12-21,The Observer,Three years later…recalling the night death captured Juba,https://observer.ug/news/three-years-later-recalling-the-night-death-captured-juba/
2016-12-21,The Observer,Unra achievements more accidental than deliberate – Katuntu,https://observer.ug/news/unra-achievements-more-accidental-than-deliberate-katuntu/
2016-12-22,The Observer,Parliament reject Shs 117bn supplementary budget for Unra,https://observer.ug/news/parliament-reject-shs-117bn-supplementary-budget-for-unra/
2016-12-23,The Observer,Food prices stay up as drought ravages villages,https://observer.ug/business/food-prices-stay-up-as-drought-ravages-villages/
2016-12-23,The Observer,MP Mpuuga hits back at Museveni over ‘mad’ jibe,https://observer.ug/news/mp-mpuuga-hits-back-at-museveni-over-mad-jibe/
2016-12-23,The Observer,Police: We can’t place Desh at murder scene,https://observer.ug/news/police-we-can-t-place-desh-at-murder-scene/
2016-12-23,The Observer,Some top NRM leaders were badly brought up – Lumumba,https://observer.ug/news/some-top-nrm-leaders-were-badly-brought-up-lumumba/
2016-12-23,The Observer,Unra wants heavy fines against overloading,https://observer.ug/news/unra-wants-heavy-fines-against-overloading/
2016-12-23,The Observer,‘Ministers use Museveni name to get money’,https://observer.ug/news/ministers-use-museveni-name-to-get-money/
2016-12-23,The Observer,‘Neglecting local communities in oil districts a time bomb’,https://observer.ug/news/neglecting-local-communities-in-oil-districts-a-time-bomb/
2016-12-28,The Observer,How police raided Nakasero mosque,https://observer.ug/news/how-police-raided-nakasero-mosque/
2016-12-28,The Observer,Kibanzanga urges Kasese leaders to preach peace,https://observer.ug/news/kibanzanga-urges-kasese-leaders-to-preach-peace/
2016-12-28,The Observer,"Lukwago, FDC councillors clash over Basalirwa job",https://observer.ug/news/lukwago-fdc-councillors-clash-over-basalirwa-job/
2016-12-28,The Observer,MPs raise red flags on railway concession,https://observer.ug/business/mps-raise-red-flags-on-railway-concession/
2016-12-28,The Observer,"Oil should not over-dominate Uganda’s economy, WB chief advises",https://observer.ug/news/oil-should-over-dominate-uganda-s-economy-wb-chief-advises/
2016-12-28,The Observer,Parliament blacklists Ferdsult Ltd on govt electricity contracts,https://observer.ug/business/parliament-blacklists-ferdsult-ltd-on-govt-electricity-contracts/
2016-12-28,The Observer,UNBS starts inspecting Umeme power meters,https://observer.ug/business/unbs-starts-inspecting-umeme-power-meters/
2026-03-26,The Observer,Namananga forest on brink and race to save it,https://observer.ug/business/namananga-forest-on-brink-and-race-to-save-it/
2026-03-29,The Observer,Economics of forgiveness: A final chance to reset your business debt,https://observer.ug/business/economics-of-forgiveness-a-final-chance-to-reset-your-business-debt/
2026-03-29,The Observer,Investments in small-scale industries could lead to improved incomes,https://observer.ug/business/investments-in-small-scale-industries-could-lead-to-improved-incomes/
2026-03-31,The Observer,TotalEnergies revamps LPG filling plant in Jinja,https://observer.ug/business/totalenergies-revamps-lpg-filling-plant-in-jinja/
2026-03-31,The Observer,Uganda has enough fuel stock until May – govt,https://observer.ug/business/uganda-has-enough-fuel-stock-until-may-govt/
2026-04-01,The Observer,Musicians should think beyond miming at kwanjula and weddings,https://observer.ug/business/musicians-should-think-beyond-miming-at-kwanjula-and-weddings/
2026-04-09,The Observer,Euro Gold to refine gold for Bank of Uganda,https://observer.ug/business/euro-gold-to-refine-gold-for-bank-of-uganda/
2026-04-09,The Observer,Mubende goats introduced in Zombo,https://observer.ug/news/mubende-goats-introduced-in-zombo/
2026-04-10,The Observer,Africa pushes for new global financial order as aid models face scrutiny,https://observer.ug/business/africa-pushes-for-new-global-financial-order-as-aid-models-face-scrutiny/
2026-04-10,The Observer,Food prices rise in Nebbi after vendor evictions,https://observer.ug/news/food-prices-rise-in-nebbi-after-vendor-evictions/
2026-04-10,The Observer,"Nandutu apologises to Museveni over iron sheet theft, pleads for non-custodial sentence",https://observer.ug/news/nandutu-apologises-to-museveni-over-iron-sheets-theft-pleads-for-non-custodial-sentence/
2026-04-12,The Observer,Court jails ex-minister Nandutu for four years over iron sheets theft,https://observer.ug/news/court-jails-ex-minister-nandutu-for-four-years-over-iron-sheets-theft/
2026-04-12,The Observer,Police recover gun used in Soroti mobile money agent murder,https://observer.ug/news/police-recover-gun-used-in-soroti-mobile-money-agent-murder/
