url,date
https://observer.ug/news/parliament-moots-a-chopper-for-speaker/,2017-01-06
https://observer.ug/lifestyle-entertainment/pablo-the-power-of-panties/,2017-01-06
https://observer.ug/news/uneb-to-delay-releasing-ple-results/,2017-01-06
https://observer.ug/news/court-summons-bou-s-kasekende-over-golf-course-land/,2017-01-07
https://observer.ug/education/namugongo-old-students-to-rebuild-shs-40m-school-gate/,2017-01-07
https://observer.ug/viewpoint/proposed-amendments-on-land-acquisition-unnecessary/,2017-01-09
https://observer.ug/viewpoint/uganda-can-t-divorce-land-use-from-transforming-agriculture/,2017-01-09
https://observer.ug/business/uganda-tanzania-to-launch-oil-pipeline-study-today/,2017-01-09
https://observer.ug/business/kcca-s-musisi-nyakana-row-over-city-park/,2017-01-09
https://observer.ug/news/mairungi-farmers-sue-parliament/,2017-01-09
https://observer.ug/news/parliament-to-debate-report-on-media-coverage/,2017-01-09
https://observer.ug/education/kampala-parents-school-to-expand-to-entebbe/,2017-01-09
https://observer.ug/education/jinja-district-threatens-closure-of-87-schools-over-licenses/,2017-01-09
https://observer.ug/education/why-thematic-curriculum-is-still-a-challenge-to-schools/,2017-01-09
https://observer.ug/news/justice-kavuma-blocks-probe-debate-into-shs-6bn-bonus/,2017-01-09
https://observer.ug/sports/power-oilers-in-game-three/,2017-01-11
https://observer.ug/news/police-to-probe-health-ministry-staff-over-mysterious-fire/,2017-01-11
https://observer.ug/news/prisons-in-gulu-maintain-ban-on-inmate-visits-to-stop-eye-disease/,2017-01-11
https://observer.ug/news/ugandan-road-workers-accuse-chinese-bosses-of-low-pay-assault-harassment/,2017-01-11
https://observer.ug/news/kcca-runs-out-of-cash-fails-to-pay-salaries-collect-garbage/,2017-01-11
https://observer.ug/business/drc-interested-in-uganda-tz-crude-pipeline/,2017-01-11
https://observer.ug/lifestyle-entertainment/star-trail-salvado-idringi-hosts-kung-fu-festival/,2017-01-11
https://observer.ug/news/no-afcon-on-ubc-tv-over-lack-of-shs-2-5bn-broadcast-fees/,2017-01-12
https://observer.ug/news/dr-rwendeire-committee-meets-makerere-students/,2017-01-13
https://observer.ug/news/cash-strapped-kcca-sweet-talks-landlords-for-land/,2017-01-13
