month,source,pred_final,count
2019-08,The Observer,land_row_dispute,104
2019-08,The Observer,delay_time_overrun,22
2019-08,The Observer,contract_management_failure,18
2019-08,The Observer,procurement_irregularity,14
2019-08,The Observer,quality_technical_defect,12
2019-08,The Observer,payment_financial_dispute,9
2019-08,The Observer,governance_oversight_failure,3
2019-09,The Observer,land_row_dispute,33
2019-09,The Observer,delay_time_overrun,8
2019-09,The Observer,quality_technical_defect,3
2019-09,The Observer,contract_management_failure,2
2019-09,The Observer,procurement_irregularity,2
2019-10,The Observer,land_row_dispute,100
2019-10,The Observer,delay_time_overrun,15
2019-10,The Observer,procurement_irregularity,7
2019-10,The Observer,governance_oversight_failure,5
2019-10,The Observer,quality_technical_defect,4
2019-10,The Observer,payment_financial_dispute,2
2019-11,The Observer,land_row_dispute,71
2019-11,The Observer,delay_time_overrun,23
2019-11,The Observer,quality_technical_defect,16
2019-11,The Observer,governance_oversight_failure,9
2019-11,The Observer,procurement_irregularity,5
2019-11,The Observer,contract_management_failure,4
2019-12,The Observer,land_row_dispute,77
2019-12,The Observer,delay_time_overrun,6
2019-12,The Observer,quality_technical_defect,5
2019-12,The Observer,contract_management_failure,4
2019-12,The Observer,procurement_irregularity,4
2019-12,The Observer,governance_oversight_failure,3
2019-12,The Observer,payment_financial_dispute,2
2020-01,The Observer,land_row_dispute,186
2020-01,The Observer,delay_time_overrun,33
2020-01,The Observer,quality_technical_defect,21
2020-01,The Observer,contract_management_failure,18
2020-01,The Observer,procurement_irregularity,17
2020-01,The Observer,governance_oversight_failure,10
2020-01,The Observer,payment_financial_dispute,6
2020-02,The Observer,land_row_dispute,63
2020-02,The Observer,delay_time_overrun,21
2020-02,The Observer,quality_technical_defect,10
2020-02,The Observer,procurement_irregularity,6
2020-02,The Observer,governance_oversight_failure,5
2020-02,The Observer,payment_financial_dispute,3
2020-02,The Observer,contract_management_failure,2
2020-03,The Observer,land_row_dispute,98
2020-03,The Observer,delay_time_overrun,11
2020-03,The Observer,governance_oversight_failure,11
2020-03,The Observer,quality_technical_defect,10
2020-03,The Observer,contract_management_failure,4
2020-03,The Observer,procurement_irregularity,4
2020-03,The Observer,payment_financial_dispute,1
2020-04,The Observer,land_row_dispute,41
2020-04,The Observer,delay_time_overrun,6
2020-04,The Observer,quality_technical_defect,6
2020-04,The Observer,contract_management_failure,5
2020-04,The Observer,procurement_irregularity,5
2020-04,The Observer,governance_oversight_failure,2
2020-04,The Observer,payment_financial_dispute,1
2020-05,The Observer,land_row_dispute,72
2020-05,The Observer,delay_time_overrun,20
2020-05,The Observer,procurement_irregularity,9
2020-05,The Observer,quality_technical_defect,8
2020-05,The Observer,contract_management_failure,2
2020-05,The Observer,governance_oversight_failure,2
2020-06,The Observer,land_row_dispute,139
2020-06,The Observer,delay_time_overrun,39
2020-06,The Observer,procurement_irregularity,16
2020-06,The Observer,quality_technical_defect,7
2020-06,The Observer,payment_financial_dispute,6
2020-06,The Observer,contract_management_failure,5
2020-06,The Observer,governance_oversight_failure,5
2020-07,The Observer,land_row_dispute,200
2020-07,The Observer,delay_time_overrun,33
2020-07,The Observer,governance_oversight_failure,15
2020-07,The Observer,procurement_irregularity,10
2020-07,The Observer,quality_technical_defect,9
2020-07,The Observer,contract_management_failure,7
2020-07,The Observer,payment_financial_dispute,7
2020-08,The Observer,land_row_dispute,163
2020-08,The Observer,delay_time_overrun,34
2020-08,The Observer,quality_technical_defect,12
2020-08,The Observer,payment_financial_dispute,8
2020-08,The Observer,procurement_irregularity,8
2020-08,The Observer,contract_management_failure,3
2020-08,The Observer,governance_oversight_failure,3
2020-09,The Observer,land_row_dispute,226
2020-09,The Observer,delay_time_overrun,50
2020-09,The Observer,quality_technical_defect,24
2020-09,The Observer,procurement_irregularity,23
2020-09,The Observer,payment_financial_dispute,15
2020-09,The Observer,governance_oversight_failure,14
2020-09,The Observer,contract_management_failure,12
2020-10,The Observer,land_row_dispute,124
2020-10,The Observer,delay_time_overrun,29
2020-10,The Observer,procurement_irregularity,12
2020-10,The Observer,quality_technical_defect,11
2020-10,The Observer,payment_financial_dispute,6
2020-10,The Observer,contract_management_failure,4
2020-10,The Observer,governance_oversight_failure,3
2020-11,The Observer,land_row_dispute,46
2020-11,The Observer,delay_time_overrun,10
2020-11,The Observer,procurement_irregularity,7
2020-11,The Observer,contract_management_failure,4
2020-11,The Observer,payment_financial_dispute,2
2020-11,The Observer,quality_technical_defect,2
2020-12,The Observer,land_row_dispute,114
2020-12,The Observer,delay_time_overrun,42
2020-12,The Observer,procurement_irregularity,16
2020-12,The Observer,governance_oversight_failure,8
2020-12,The Observer,payment_financial_dispute,6
2020-12,The Observer,quality_technical_defect,5
2020-12,The Observer,contract_management_failure,3
2021-01,The Observer,land_row_dispute,34
2021-01,The Observer,delay_time_overrun,13
2021-01,The Observer,procurement_irregularity,4
2021-01,The Observer,contract_management_failure,1
2021-01,The Observer,payment_financial_dispute,1
2021-01,The Observer,quality_technical_defect,1
2021-02,The Observer,land_row_dispute,81
2021-02,The Observer,delay_time_overrun,25
2021-02,The Observer,procurement_irregularity,14
2021-02,The Observer,quality_technical_defect,12
2021-02,The Observer,governance_oversight_failure,4
2021-02,The Observer,contract_management_failure,2
2021-03,The Observer,land_row_dispute,219
2021-03,The Observer,delay_time_overrun,53
2021-03,The Observer,governance_oversight_failure,30
2021-03,The Observer,procurement_irregularity,27
2021-03,The Observer,payment_financial_dispute,16
2021-03,The Observer,quality_technical_defect,15
2021-03,The Observer,contract_management_failure,11
2021-04,The Observer,land_row_dispute,164
2021-04,The Observer,delay_time_overrun,52
2021-04,The Observer,quality_technical_defect,13
2021-04,The Observer,procurement_irregularity,10
