publication_date,title,url
2017-11-29,Expert calls for honesty in insurance business,https://observer.ug/business/expert-calls-for-honesty-in-insurance-business/
2017-11-30,PPDA suspends over 100 suppliers over forged documents,https://observer.ug/news/ppda-suspends-over-100-suppliers-over-forged-documents/
2017-12-05,Muntu sets terms to remain in FDC,https://observer.ug/news/muntu-sets-terms-to-remain-in-fdc/
2017-12-06,Court dismisses Katosi road suspect Senkeeto’s application,https://observer.ug/news/court-dismisses-katosi-road-fraud-suspect-senkeeto-application/
2017-12-13,Land probe runs into anti-Asian feelings,https://observer.ug/news/land-probe-runs-into-anti-asian-feelings/
2017-12-15,Ugandans deserve good governance – Dutch Ambassador,https://observer.ug/news/ugandans-deserve-good-governance-dutch-ambassador/
2017-12-21,Archbishop Lwanga shuns prayers at Parliament over SFC raid,https://observer.ug/news/archbishop-lwanga-shuns-prayers-at-parliament-over-sfc-raid/
2018-01-03,Kasese palace attack: broken families struggle to survive,https://observer.ug/news/kasese-palace-attack-broken-families-struggle-to-survive/
2018-01-03,Pro-Kadaga protesters storm High court,https://observer.ug/news/pro-kadaga-protesters-storm-high-court/
2018-01-11,PLE results out tomorrow,https://observer.ug/news/ple-results-out-tomorrow/
2018-01-12,MPs want constitutional right to health,https://observer.ug/news/mps-want-constitutional-right-to-health/
2018-01-18,Sadolin turn to ‘paint supermarkets’ to promote products,https://observer.ug/business/sadolin-turn-to-paint-supermarkets-to-promote-products/
2018-01-22,"State House website maintains outdated M7, Janet profiles",https://observer.ug/news/state-house-website-maintains-outdated-m7-janet-profiles/
2018-01-25,Airtel lowers data prices in new promo,https://observer.ug/business/airtel-lowers-data-prices-in-new-promo/
2018-01-25,"Wife drags IGP, CMI to court over Kitatta arrest",https://observer.ug/news/wife-drags-igp-cmi-to-court-over-kitatta-arrest/
2018-01-26,Tooro kingdom moves to sue gov’t over assets,https://observer.ug/news/tooro-kingdom-moves-to-sue-gov-t-over-assets/
2018-01-28,Museveni orders gov’t to switch to UTL internet,https://observer.ug/news/museveni-orders-gov-t-to-switch-to-utl-internet/
2018-01-31,"Muntu tells off FDC, talks to NRM loyalists",https://observer.ug/news/muntu-tells-off-fdc-talks-to-nrm-loyalists/
2018-02-01,Maverick DPC Kirumira arrested,https://observer.ug/news/maverick-dpc-kirumira-arrested/
2018-02-05,African leaders ‘almost’ demanded apology from Trump,https://observer.ug/news/african-leaders-almost-demanded-apology-from-trump/
2018-02-05,Illegal schools blame imminent closure on govt incompetence,https://observer.ug/news/illegal-schools-blame-govt-incompetence-on-imminent-closure/
2018-02-07,Mengo hospital cleared in brain surgery deaths,https://observer.ug/news/mengo-hospital-cleared-in-brain-surgery-deaths/
2018-02-10,"Bishop Kisembo, Museveni clash over age limit",https://observer.ug/news/bishop-kisembo-museveni-clash-over-age-limit/
2018-02-13,Govt to burn 1500 tons of expired drugs,https://observer.ug/news/govt-to-burn-1500-tons-of-expired-drugs/
