publication_date,title,url
2018-01-18,Sadolin turn to ‘paint supermarkets’ to promote products,https://observer.ug/business/sadolin-turn-to-paint-supermarkets-to-promote-products/
2018-01-25,Airtel lowers data prices in new promo,https://observer.ug/business/airtel-lowers-data-prices-in-new-promo/
2018-01-28,Museveni orders gov’t to switch to UTL internet,https://observer.ug/news/museveni-orders-gov-t-to-switch-to-utl-internet/
2018-02-05,Illegal schools blame imminent closure on govt incompetence,https://observer.ug/news/illegal-schools-blame-govt-incompetence-on-imminent-closure/
2018-02-10,"Bishop Kisembo, Museveni clash over age limit",https://observer.ug/news/bishop-kisembo-museveni-clash-over-age-limit/
2018-02-13,Govt to burn 1500 tons of expired drugs,https://observer.ug/news/govt-to-burn-1500-tons-of-expired-drugs/
2018-02-14,Police refutes reports of ACP Bakaleke’s arrest,https://observer.ug/news/police-refutes-reports-of-acp-bakaleke-s-arrest/
2018-02-20,"aYo and MTN to reward 2,500 loyal customers",https://observer.ug/business/ayo-insurance-to-reward-2-500-loyal-customers/
2018-03-09,Africa’s population explosion worries African Development Bank,https://observer.ug/business/africa-s-population-explosion-worries-african-development-bank/
2018-03-10,Zimbabwe court issues warrant to deepen Grace Mugabe PhD probe,https://observer.ug/news/zimbabwe-court-issues-warrant-to-deepen-grace-mugabe-phd-probe/
2018-03-25,No fundamental problem between Uganda & Rwanda – Museveni,https://observer.ug/news/no-fundamental-problem-between-uganda-rwanda-museveni/
2018-03-28,Livingstone Sewanyana revels in new appointment as UN expert,https://observer.ug/news/livingstone-sewanyana-revels-in-new-appointment-as-un-expert/
2018-04-26,"Korea commits $10m towards clean water, sanitation in Karamoja",https://observer.ug/news/korea-commits-10m-towards-clean-water-sanitation-in-karamoja/
2018-05-01,India’s Tata assessing Umeme’s performance,https://observer.ug/business/india-s-tata-assessing-umeme-s-performance/
2018-05-11,"OPM to splash Shs 5bn on workshops, seminars",https://observer.ug/news/opm-to-splash-shs-5bn-on-workshops-seminars/
2018-05-20,Kadaga wants road safety included in national curriculum,https://observer.ug/news/kadaga-wants-road-safety-included-in-national-curriculum/
2018-06-02,CNOOC Uganda takes oil and gas training to grassroots,https://observer.ug/business/cnooc-uganda-takes-oil-and-gas-training-to-grassroots/
2018-06-10,Several injured in another tragic accident in Kiryandongo,https://observer.ug/news/several-injured-in-another-tragic-accident-in-kiryandongo/
2018-06-26,Drop in HIV infections a relief for campaigners,https://observer.ug/news/drop-in-hiv-infections-a-relief-for-campaigners/
2018-08-03,Govt hires experts to improve animal breeding,https://observer.ug/news/govt-hires-experts-to-improve-animal-breeding/
2018-08-29,Bobi Wine: The making of people power,https://observer.ug/news/bobi-wine-the-making-of-people-power/
2018-08-31,Bobi Wine now ‘cleared’ to travel for treatment,https://observer.ug/news/bobi-wine-now-cleared-to-travel-for-treatment/
2018-09-03,"MP Zaake charged with treason, released on police bond",https://observer.ug/news/mp-zaake-charged-with-treason-released-on-police-bond/
2018-09-05,Be careful what you say to your child,https://observer.ug/news/be-careful-what-you-say-to-your-child/
2018-09-27,MPs question Defence officials on LDU recruitment,https://observer.ug/news/mps-question-defence-officials-on-ldu-recruitment/
2018-10-31,"Denied pension, Serubyale endures hunger for 38 years",https://observer.ug/news/denied-pension-serubyale-endures-hunger-for-38-years/
2018-11-01,Police foils People Power meeting in Bugweri,https://observer.ug/news/police-foils-people-power-meeting-in-bugweri/
2018-11-07,Oil: Can local companies measure up to standards?,https://observer.ug/business/oil-can-local-companies-measure-up-to-standards/
2018-11-14,"Sports, the next big thing for investors",https://observer.ug/business/sports-the-next-big-thing-for-investors/
2018-11-15,African leaders meet for ‘last push’ on AU reforms,https://observer.ug/news/african-leaders-meet-for-last-push-on-au-reforms/
2018-11-15,"UN bribery: FBI was tapping Sam Kutesa emails, phone calls",https://observer.ug/news/un-bribery-fbi-was-tapping-sam-kutesa-emails-phone-calls/
