actor,driver,region,sector
Government,land_row_dispute,Central,Roads/Transport
Ministry of Finance,land_row_dispute,Central,Roads/Transport
Court,land_row_dispute,Central,Land/Urban
Police,land_row_dispute,Central,Land/Urban
Court,delay_time_overrun,National Corridor,Buildings/Housing
Government,delay_time_overrun,National Corridor,Buildings/Housing
Police,delay_time_overrun,National Corridor,Buildings/Housing
Government,procurement_irregularity,Northern,Buildings/Housing
Ministry of Health,procurement_irregularity,Northern,Buildings/Housing
Government,land_row_dispute,Central,Buildings/Housing
Umeme/ERA,land_row_dispute,Central,Buildings/Housing
World Bank,land_row_dispute,Western,Energy
Government,quality_technical_defect,Northern,Roads/Transport
Parliament,quality_technical_defect,Northern,Roads/Transport
President Museveni,quality_technical_defect,Northern,Roads/Transport
Government,land_row_dispute,Eastern,Energy
Umeme,land_row_dispute,Eastern,Energy
Government,delay_time_overrun,Cross-border,Other
Government,land_row_dispute,Central,Roads/Transport
Parliament,land_row_dispute,Central,Roads/Transport
President Museveni,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Buildings/Housing
Ministry of Finance,land_row_dispute,Central,Buildings/Housing
NSSF,land_row_dispute,Central,Buildings/Housing
President Museveni,land_row_dispute,Central,Buildings/Housing
Ministry of Energy,land_row_dispute,Northern,Energy
NEMA,land_row_dispute,Northern,Energy
President Museveni,land_row_dispute,Northern,Energy
Government,land_row_dispute,Eastern,Roads/Transport
KCCA,land_row_dispute,Central,Roads/Transport
UNRA,land_row_dispute,Central,Roads/Transport
Court,land_row_dispute,Central,Buildings/Housing
Government,land_row_dispute,Central,Buildings/Housing
Government,contract_management_failure,Central,Buildings/Housing
EACOP,land_row_dispute,Central,Oil/Gas
Government,land_row_dispute,Central,Oil/Gas
Court,land_row_dispute,Eastern,Other
Government,quality_technical_defect,Cross-border,Energy
Ministry of Education,quality_technical_defect,Cross-border,Energy
Court,delay_time_overrun,Central,Buildings/Housing
Government,delay_time_overrun,Central,Buildings/Housing
Parliament,delay_time_overrun,Central,Buildings/Housing
Government,land_row_dispute,Eastern,Buildings/Housing
Police,land_row_dispute,Eastern,Buildings/Housing
Court,procurement_irregularity,Central,Buildings/Housing
Government,procurement_irregularity,Central,Buildings/Housing
Ministry of Health,procurement_irregularity,Central,Buildings/Housing
Police,procurement_irregularity,Central,Buildings/Housing
Ministry of Works,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Buildings/Housing
Ministry of Health,land_row_dispute,Central,Buildings/Housing
Court,land_row_dispute,Central,Energy
EACOP,land_row_dispute,Central,Energy
Government,land_row_dispute,Central,Energy
Ministry of Energy,land_row_dispute,Central,Energy
Court,land_row_dispute,Eastern,Roads/Transport
Government,land_row_dispute,Eastern,Roads/Transport
Court,land_row_dispute,Northern,Land/Urban
Government,land_row_dispute,Central,Roads/Transport
IGG,land_row_dispute,Central,Roads/Transport
Ministry of Health,land_row_dispute,Central,Roads/Transport
Police,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
Court,governance_oversight_failure,Cross-border,Oil/Gas
Government,governance_oversight_failure,Cross-border,Oil/Gas
Parliament,governance_oversight_failure,Cross-border,Oil/Gas
Police,governance_oversight_failure,Cross-border,Oil/Gas
President Museveni,governance_oversight_failure,Cross-border,Oil/Gas
Court,land_row_dispute,Cross-border,Buildings/Housing
Government,land_row_dispute,Cross-border,Buildings/Housing
Parliament,land_row_dispute,Central,Water/Sanitation
Police,land_row_dispute,Central,Water/Sanitation
President Museveni,land_row_dispute,Central,Water/Sanitation
Government,land_row_dispute,Eastern,Buildings/Housing
President Museveni,land_row_dispute,Eastern,Buildings/Housing
Parliament,delay_time_overrun,Central,Energy
President Museveni,delay_time_overrun,Central,Energy
KCCA,governance_oversight_failure,Central,Land/Urban
Government,land_row_dispute,Central,Buildings/Housing
President Museveni,land_row_dispute,Central,Buildings/Housing
Court,land_row_dispute,Eastern,Other
Government,land_row_dispute,Eastern,Other
Parliament,land_row_dispute,Eastern,Other
Ministry of Energy,land_row_dispute,Central/Western,Energy
President Museveni,land_row_dispute,Central/Western,Energy
Government,delay_time_overrun,Central,Roads/Transport
Umeme,delay_time_overrun,Central,Roads/Transport
Government,land_row_dispute,Cross-border,Water/Sanitation
Government,land_row_dispute,Central,Buildings/Housing
Court,land_row_dispute,Central,Energy
Government,land_row_dispute,Central,Energy
Parliament,land_row_dispute,Central,Energy
President Museveni,land_row_dispute,Central,Energy
World Bank,land_row_dispute,Central,Energy
Government,governance_oversight_failure,Central,Roads/Transport
KCCA,governance_oversight_failure,Eastern,Land/Urban
URA,governance_oversight_failure,Eastern,Land/Urban
Parliament,contract_management_failure,Cross-border,Buildings/Housing
Government,land_row_dispute,Eastern,Water/Sanitation
NEMA,land_row_dispute,Eastern,Water/Sanitation
Parliament,land_row_dispute,Eastern,Water/Sanitation
Court,land_row_dispute,Cross-border,Energy
Government,land_row_dispute,Cross-border,Energy
Ministry of Energy,land_row_dispute,Cross-border,Energy
Parliament,land_row_dispute,Cross-border,Energy
Court,land_row_dispute,Central,Other
Police,land_row_dispute,Central,Other
President Museveni,land_row_dispute,Central,Other
Government,land_row_dispute,Cross-border,Water/Sanitation
Court,land_row_dispute,Northern/Eastern,Buildings/Housing
Government,land_row_dispute,Northern/Eastern,Buildings/Housing
NSSF,land_row_dispute,Northern/Eastern,Buildings/Housing
Parliament,land_row_dispute,Northern/Eastern,Buildings/Housing
Government,procurement_irregularity,Central,Energy
Police,procurement_irregularity,Central,Energy
Government,land_row_dispute,Central,Roads/Transport
Police,land_row_dispute,Central,Roads/Transport
World Bank,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Cross-border,Buildings/Housing
UNRA,quality_technical_defect,National Corridor,Roads/Transport
Government,land_row_dispute,Central,Buildings/Housing
Ministry of Education,land_row_dispute,Central,Buildings/Housing
Police,land_row_dispute,Central,Roads/Transport
Parliament,contract_management_failure,Central,Energy
NSSF,land_row_dispute,Central,Energy
Court,procurement_irregularity,Central,Roads/Transport
Parliament,procurement_irregularity,Central,Roads/Transport
Police,procurement_irregularity,Central,Roads/Transport
President Museveni,procurement_irregularity,Central,Roads/Transport
Government,land_row_dispute,Western,Land/Urban
Parliament,land_row_dispute,Western,Land/Urban
President Museveni,land_row_dispute,Western,Land/Urban
EACOP,land_row_dispute,Western,Energy
Government,land_row_dispute,Western,Energy
Ministry of Energy,land_row_dispute,Western,Energy
Government,land_row_dispute,Central,Roads/Transport
KCCA,land_row_dispute,Central,Roads/Transport
PPDA,procurement_irregularity,Central,Other
Court,land_row_dispute,Central/Western,Energy
Government,land_row_dispute,Central/Western,Energy
President Museveni,land_row_dispute,Central/Western,Energy
Court,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
Parliament,land_row_dispute,Central,Roads/Transport
UNRA,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central/Western,Energy
Ministry of Education,land_row_dispute,Northern,Roads/Transport
UNRA,land_row_dispute,Central,Roads/Transport
KCCA,delay_time_overrun,Central,Roads/Transport
Government,land_row_dispute,Western,Roads/Transport
Parliament,land_row_dispute,Western,Roads/Transport
UNRA,land_row_dispute,Western,Roads/Transport
Ministry of Health,land_row_dispute,Central,Buildings/Housing
Government,land_row_dispute,Central,Buildings/Housing
Ministry of Finance,land_row_dispute,Central,Buildings/Housing
Parliament,land_row_dispute,Central,Buildings/Housing
Government,land_row_dispute,Central,Roads/Transport
Parliament,land_row_dispute,Central,Roads/Transport
President Museveni,land_row_dispute,Central,Roads/Transport
Court,land_row_dispute,Central,Land/Urban
Court,land_row_dispute,Cross-border,Buildings/Housing
Government,land_row_dispute,Cross-border,Buildings/Housing
Ministry of Finance,land_row_dispute,Cross-border,Buildings/Housing
Ministry of Health,land_row_dispute,Cross-border,Buildings/Housing
Parliament,land_row_dispute,Cross-border,Buildings/Housing
President Museveni,land_row_dispute,Cross-border,Buildings/Housing
URA,land_row_dispute,Cross-border,Buildings/Housing
Police,land_row_dispute,Central/Western,Roads/Transport
Court,quality_technical_defect,Central,Roads/Transport
Government,quality_technical_defect,Central,Roads/Transport
Government,land_row_dispute,Central,Buildings/Housing
Ministry of Education,land_row_dispute,Central,Buildings/Housing
Ministry of Finance,land_row_dispute,Central,Buildings/Housing
Police,land_row_dispute,Central,Buildings/Housing
Government,governance_oversight_failure,Central,Buildings/Housing
